user_id,referral_id,country
4397420,4111419,UKR
4395863,4348406,IRQ
4397349,4208239,DZA
4397282,4238184,UKR
4397269,4237107,UKR
4397299,4233461,UKR
4396966,2441030,IND
4397268,4324257,TUR
4397271,4237152,UKR
4397259,4230783,UKR
4397255,4233392,UKR
4397233,4388371,LKA
4391889,4334683,GHA
4397218,1176703,DEU
4397214,2197914,TUR
4397164,4363096,DZA
4397166,4376585,THA
4397165,4127870,UKR
4397129,4376585,THA
4397113,4376585,THA
4397014,4362532,PHL
4397067,4376585,THA
4397085,4376585,THA
4397077,4127030,UKR
4397056,3181049,TUR
4397050,4121449,UKR
4397043,4376585,THA
4397005,4376585,THA
4397022,4374201,BGD
4397017,4115284,UKR
4396568,4382796,IDN
4396989,4376585,GBR
4396975,4310274,GHA
4396935,4376585,SVN
4396451,4354113,KEN
4396949,4376585,GRC
4396673,4081566,UKR
4396919,4396381,LKA
4396870,4111323,UKR
4387659,1625655,IND
4396682,4107527,UKR
4390797,2380336,TUR
4392527,4269578,IND
4396853,4103734,UKR
4396810,3056791,TUR
4396806,2459991,KEN
4386963,1625655,IND
4396821,758830,PRT
4396816,4110133,UKR
4396678,4247861,BGD
4396803,4110473,UKR
4396694,4349716,PHL
4396759,4109174,UKR
4396686,4349716,CUB
4396675,4128106,UKR
4396749,1062016,PAK
4396726,4115122,UKR
4396707,4110242,UKR
4396697,4109665,UKR
4396663,4248900,BGD
4386035,4372453,IDN
4396667,4115407,UKR
4396669,4103514,UKR
4396621,4354986,BGD
4396640,4078297,UKR
4396569,4113412,UKR
4396538,4127509,UKR
4396582,4111550,UKR
4396585,4111486,UKR
4396560,3251182,IDN
4390549,4354113,IND
4396493,4349294,BGD
4396509,4127114,UKR
4396495,4102852,UKR
4396478,4357749,IND
4396485,4114988,UKR
4396469,4109800,UKR
4396449,4127985,UKR
4396444,4110181,UKR
4396418,1509370,BGD
4396381,2778566,LKA
4394004,4269578,IND
4396374,4110339,UKR
4395989,4388371,LKA
4396100,4376585,USA
4396346,4393805,LKA
4396260,4208239,DZA
4396294,1625655,IND
4396085,4376585,CAN
4396240,4389069,TUR
4390869,748683,IND
4396244,749018,NLD
4396230,4208239,DZA
4395828,4376585,USA
4395887,4349393,BGD
4395821,4376585,NLD
4396161,4376585,ESP
4395797,4376585,USA
4396158,4388371,LKA
4396157,4376585,ZAF
4396024,4375626,BGD
4396048,4376585,DNK
4388026,4367402,CIV
4396014,1144518,PHL
4396032,4376585,USA
4396005,4376585,AUS
4395495,4376585,USA
4395985,4376585,IDN
4395369,4376585,USA
4395965,4376585,USA
4395338,4376585,USA
4395493,4376585,USA
4395870,4249801,BGD
4395777,4376585,USA
4395468,4376585,CAN
4395284,4376585,USA
4395822,4388371,LKA
4393575,4350646,BGD
4395353,4376585,RUS
4395823,4366948,IDN
4395646,1625655,PHL
4393332,4259152,IND
4394338,4248900,BGD
4395805,4376585,USA
4395295,4376585,USA
4395190,4376585,USA
4395753,4357803,LKA
4395691,1625655,LKA
4391421,4354113,IND
4395711,1800265,IND
4392613,4388371,LKA
4395699,4348602,KHM
4395681,4391571,LKA
4395676,4376585,GBR
4395655,4117971,IND
4395650,4248985,TUN
4393536,1625655,IND
4395618,4232742,IND
4395602,4348406,IRQ
4395565,4349284,BGD
4390847,4356983,PHL
4395523,4349611,IND
4390498,4371503,LKA
4395479,4361857,IND
4395481,4376585,JPN
4395216,4376585,TUR
4385419,2777851,PAK
4395446,4376585,NLD
4395450,4376585,TZA
4393901,4368031,BGD
4395384,4263283,IND
4395354,4361555,BGD
4395333,4357803,LKA
4395278,4378478,IDN
4395244,4376585,GBR
4395178,4376585,LVA
4395199,4376585,USA
4395183,4368812,LKA
4395185,4376585,ITA
4395159,4279233,IND
4395129,4376585,BIH
4395143,4388371,LKA
4395097,4376585,GBR
4395090,4376585,GBR
4395092,4376585,GBR
4395086,4376585,GBR
4395084,4395078,ARG
4395070,4376585,GBR
4395065,4376585,GBR
4395062,4376585,GBR
4395045,4376585,GBR
4395049,4376585,GBR
4394992,4376585,GBR
4394831,3253634,TUR
4394891,4357803,LKA
4394937,4376585,GBR
4394823,4376585,GBR
4394664,4393712,BLR
4394723,4352672,BGD
4394691,4389010,MNE
4394643,4394328,TUR
4394662,4374339,MAR
4389010,694862,MNE
4394352,2685436,MAR
4394505,606086,BEN
4388422,4374995,IDN
4394366,629317,BGD
4394341,2197914,TUR
4394262,4269578,IND
4394201,2465870,BGD
4394210,2249415,MMR
4394195,4321191,TUR
4393521,4388371,LKA
4393518,2489432,BGD
4394048,4251710,BGD
4393998,1220910,BEL
4394000,4376585,BGR
4394032,4356427,IND
4393997,4388371,LKA
4394003,4269578,IND
4392883,4388371,LKA
4391292,4251710,BGD
4393880,4376585,FIN
4393535,2274752,DEU
4390244,4372962,IDN
4389924,2440555,IND
4391799,4371747,DZA
4388670,4357803,LKA
4393822,1090035,IND
4393846,4376585,AUS
4393561,4378600,LKA
4393827,4376585,FIN
4391784,4388371,LKA
4393805,2778566,LKA
4393765,4388371,LKA
4393773,3092415,BGD
4393437,2448879,TWN
4385788,1674998,IND
4393677,2197914,TUR
4393708,4389294,TUR
4393400,4357489,IND
4393612,4388371,LKA
4393579,1091628,IND
4393571,4338842,TUR
4393370,4362532,PHL
4390776,623527,RUS
4393470,4353562,IND
4393476,4374512,MAR
4393455,1625655,IND
4393449,4352260,IND
4393450,4368483,TUR
4393426,4358617,POL
4393425,4376585,IRL
4388284,2605469,BGD
4393075,2716091,TUR
4393094,4247861,PAK
4393378,4388371,LKA
4393364,4388371,LKA
